delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;1615;164;161;0;0.9147594060511329;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;842;136;135;0;0.9572410195936141;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1101;135;134;0;0.9411171081277214;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1172;135;134;0;0.9305039005805515;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1470;161;161;0;0.9209975438204759;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1170;162;163;0;0.9430612928435861;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;845;133;135;0;0.9467298621190128;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1341;162;157;0;0.9288777260475375;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1254;163;164;0;0.9394003417170362;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;1434;163;164;0;0.9303615504793247;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;5203;692;633;0;0.9186793512230775;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4582;663;629;0;0.9325042681124573;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4689;660;615;0;0.9236007870090566;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4687;665;615;0;0.9241169308411372;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4627;690;637;0;0.9288835008191892;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4733;688;641;0;0.928661346354839;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4833;661;608;0;0.9178934273273888;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4725;687;636;0;0.9235161561378046;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4525;690;639;0;0.9291292786541371;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;4944;691;640;0;0.9247818178361139;{};NONALIGNING_KNOWN;{}
