delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;125;133;132;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;155;134;132;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;127;130;130;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;132;134;137;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;128;135;134;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;126;133;134;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;128;130;133;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;150;134;134;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;125;132;132;0;1.0;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;126;133;134;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;639;661;633;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;613;663;636;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;638;654;633;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;642;660;640;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;608;663;627;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;639;660;633;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;602;660;626;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;637;659;637;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;624;659;628;0;1.0;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;610;660;638;0;1.0;{};NONALIGNING_KNOWN;{}
