delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;20143;154;154;0;0.5628960241483374;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;21625;157;158;0;0.5502354074101445;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;20669;161;161;0;0.5617297684731307;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;19304;149;149;0;0.5634923818232052;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;22152;153;153;0;0.5553830599631302;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;22240;156;156;0;0.5347395658409169;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;21127;152;151;0;0.549276020852472;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;19050;155;155;0;0.5703395606777242;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;20758;159;159;0;0.5600566220581218;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;21055;161;161;0;0.5558033955353465;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;241;10;10;0;0.5172413793103448;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;481;9;10;0;0.6470588235294117;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;271;8;10;0;0.7307692307692308;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;416;11;11;0;0.7254901960784313;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;270;10;10;0;0.5862068965517242;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;188;10;10;0;0.7142857142857143;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;924;10;10;0;0.6785714285714286;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;122;9;9;0;0.8620689655172413;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;587;10;10;0;0.7407407407407407;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;357;10;9;0;0.5862068965517242;{};NONALIGNING_KNOWN;{}
