delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;72597;137;138;0;0.9523243308569791;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;76797;137;137;0;0.9512836447666457;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;43641;135;137;0;0.9522926443601476;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;42078;136;137;0;0.9539111614075493;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;31253;132;136;0;0.9543300083216179;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;51476;136;137;0;0.9517386603542513;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;43640;135;136;0;0.953204979053581;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;39854;135;137;0;0.9535226698508885;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;49702;135;137;0;0.9520896118137687;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;45408;131;137;0;0.9520174726370862;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;236420;661;667;0;0.95177636493552;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;230341;664;667;0;0.9518871016443429;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;234473;663;667;0;0.951642493675475;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;233547;665;667;0;0.9519726435768129;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;236956;664;667;0;0.9517103474130862;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;247531;664;667;0;0.951333034529621;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;240810;661;665;0;0.951613239198166;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;230024;666;667;0;0.951706892920704;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;249646;662;667;0;0.9512495745915585;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;229854;663;666;0;0.9516844409283205;{};NONALIGNING_KNOWN;{}
