delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;539;134;137;0;0.9775152388748642;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;560;133;135;0;0.9776086308822868;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;523;135;136;0;0.9777054410957718;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;520;134;137;0;0.977480454707791;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;527;135;136;0;0.9775755987402882;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;547;135;137;0;0.977423623496657;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;512;132;137;0;0.9775409550344418;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;538;134;137;0;0.9774779000877489;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;539;134;136;0;0.9776856560175988;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;518;135;136;0;0.9775487789679486;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2583;662;666;0;0.9775135770995697;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2618;664;667;0;0.9775631805082609;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2644;663;666;0;0.9775746799034408;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2617;659;666;0;0.9775677583395914;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2620;665;667;0;0.9775436088919435;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2608;663;667;0;0.9775530723627883;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2610;665;667;0;0.9775766824009358;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2596;662;667;0;0.9775518674957246;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2615;663;666;0;0.9776136516588781;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;2607;662;667;0;0.9775714955236651;{};NONALIGNING_KNOWN;{}
