delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;16360;133;137;0;0.9651780926976571;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;16410;132;137;0;0.9638044123707904;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;16176;134;137;0;0.9641793774230106;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;12883;135;137;0;0.9682568003202252;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;15410;135;137;0;0.9659163898459461;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;16269;135;137;0;0.9648343274662353;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;13508;135;137;0;0.9669233685896634;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;16933;133;137;0;0.9642840304094392;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14743;135;137;0;0.9665150068244276;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;16577;133;136;0;0.9649647958018672;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;87233;665;667;0;0.962567915708643;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;87233;661;666;0;0.9626482271479928;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;85354;664;667;0;0.9633075706095342;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;81039;664;667;0;0.963964442250823;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;88191;663;666;0;0.9625813844478143;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;87068;663;667;0;0.9631928451835607;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;84635;664;667;0;0.9633027895690364;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;85280;664;666;0;0.9632997060855626;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;85819;662;667;0;0.9632069710963796;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;89112;667;667;0;0.9625286480035184;{};NONALIGNING_KNOWN;{}
