delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.05;0.99;0.01;0.2;15073;134;137;0;0.9175823783659844;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14734;131;137;0;0.9176042799855143;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;15167;133;137;0;0.9174110611310174;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14696;133;136;0;0.9177198957296354;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;15217;135;137;0;0.917084281783417;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14887;134;137;0;0.9175815980637507;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;15424;132;137;0;0.9168600623997847;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;15296;135;137;0;0.9180704910272531;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;14984;134;136;0;0.9171488380071431;{};NONALIGNING_KNOWN;{}
0.05;0.99;0.01;0.2;15177;136;137;0;0.918094552380922;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;75314;662;667;0;0.9175463870033785;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;74714;665;667;0;0.917515663433878;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;74212;663;667;0;0.9177565075171777;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;73858;663;667;0;0.9177120147454398;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;74882;664;667;0;0.9175655283109664;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;74799;663;667;0;0.9177048577270406;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;75989;667;667;0;0.9176590416625608;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;76055;666;666;0;0.9176740735622411;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;74322;665;667;0;0.9177469837702179;{};NONALIGNING_KNOWN;{}
0.01;0.99;0.01;0.2;73626;665;666;0;0.917835494341363;{};NONALIGNING_KNOWN;{}
